20190201 013600;1.144060;1.144100;1.144060;1.144090;0
20190201 013700;1.144100;1.144100;1.144030;1.144060;0
20190201 013800;1.144060;1.144060;1.143860;1.143870;0
20190201 013900;1.143870;1.144010;1.143860;1.144000;0
20190201 014000;1.143990;1.144000;1.143950;1.143960;0
20190201 014100;1.143970;1.144020;1.143960;1.144020;0
20190201 014200;1.144020;1.144020;1.143960;1.143960;0
20190201 014300;1.143960;1.144010;1.143960;1.143960;0
20190201 014400;1.143960;1.144010;1.143960;1.144000;0
20190201 014500;1.144000;1.144020;1.143990;1.144000;0
20190201 014600;1.144000;1.144010;1.143980;1.144010;0
20190201 014700;1.144000;1.144000;1.143990;1.144000;0
20190201 014800;1.144000;1.144000;1.143850;1.143850;0
20190201 014900;1.143850;1.143940;1.143850;1.143910;0
20190201 015000;1.143930;1.144110;1.143930;1.144110;0
20190201 015100;1.144110;1.144210;1.144110;1.144190;0
20190201 015200;1.144190;1.144250;1.144180;1.144210;0
20190201 015300;1.144210;1.144230;1.144160;1.144160;0
20190201 015400;1.144160;1.144300;1.144150;1.144290;0
20190201 015500;1.144290;1.144300;1.144250;1.144280;0
20190201 015600;1.144290;1.144380;1.144280;1.144300;0
20190201 015700;1.144300;1.144350;1.144290;1.144300;0
20190201 015800;1.144300;1.144300;1.144180;1.144190;0
20190201 015900;1.144180;1.144230;1.144150;1.144210;0
20190201 020000;1.144190;1.144230;1.144000;1.144190;0
20190201 020100;1.144180;1.144340;1.144180;1.144310;0
20190201 020200;1.144310;1.144330;1.144170;1.144270;0
20190201 020300;1.144280;1.144530;1.144240;1.144530;0
20190201 020400;1.144530;1.144580;1.144420;1.144420;0
20190201 020500;1.144410;1.144580;1.144400;1.144550;0
20190201 020600;1.144550;1.144590;1.144530;1.144580;0
20190201 020700;1.144580;1.144600;1.144430;1.144460;0
20190201 020800;1.144450;1.144510;1.144350;1.144360;0
20190201 020900;1.144370;1.144490;1.144370;1.144430;0
20190201 021000;1.144420;1.144500;1.144350;1.144430;0
20190201 021100;1.144420;1.144460;1.144420;1.144440;0
20190201 021200;1.144440;1.144500;1.144380;1.144490;0
20190201 021300;1.144500;1.144780;1.144500;1.144630;0
20190201 021400;1.144630;1.144740;1.144610;1.144610;0
20190201 021500;1.144610;1.144650;1.144520;1.144550;0
20190201 021600;1.144550;1.144590;1.144450;1.144560;0
20190201 021700;1.144540;1.144560;1.144370;1.144380;0
20190201 021800;1.144380;1.144440;1.144230;1.144260;0
20190201 021900;1.144260;1.144450;1.144240;1.144390;0
20190201 022000;1.144390;1.144390;1.144240;1.144260;0
20190201 022100;1.144270;1.144290;1.144180;1.144260;0
20190201 022200;1.144270;1.144450;1.144250;1.144450;0
20190201 022300;1.144450;1.144450;1.144220;1.144280;0
20190201 022400;1.144280;1.144300;1.144200;1.144250;0
20190201 022500;1.144240;1.144280;1.144160;1.144220;0
20190201 022600;1.144210;1.144460;1.144210;1.144390;0
